household_size,year,age_of_respondent,job_type,gender_of_respondent,education_level,country,relationship_with_head,cellphone_access,location_type,marital_status
3.0,2018.0,24.0,Self employed,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
5.0,2018.0,70.0,Government Dependent,Female,No formal education,Kenya,Head of Household,No,Rural,Widowed
5.0,2018.0,26.0,Self employed,Male,Vocational/Specialised training,Kenya,Other relative,Yes,Urban,Single/Never Married
5.0,2018.0,34.0,Formally employed Private,Female,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
8.0,2018.0,26.0,Informally employed,Male,Primary education,Kenya,Child,No,Urban,Single/Never Married
7.0,2018.0,26.0,Informally employed,Female,Primary education,Kenya,Spouse,No,Rural,Married/Living together
7.0,2018.0,32.0,Self employed,Female,Primary education,Kenya,Spouse,Yes,Rural,Married/Living together
1.0,2018.0,42.0,Formally employed Government,Female,Tertiary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,54.0,Farming and Fishing,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,76.0,Remittance Dependent,Female,No formal education,Kenya,Head of Household,Yes,Urban,Divorced/Seperated
5.0,2018.0,40.0,Farming and Fishing,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
3.0,2018.0,69.0,Other Income,Male,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
6.0,2018.0,64.0,Farming and Fishing,Female,No formal education,Kenya,Head of Household,No,Rural,Widowed
8.0,2018.0,31.0,Self employed,Female,Primary education,Kenya,Spouse,No,Rural,Married/Living together
4.0,2018.0,26.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Urban,Married/Living together
7.0,2018.0,38.0,Informally employed,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,47.0,Self employed,Female,Secondary education,Kenya,Head of Household,Yes,Urban,Married/Living together
6.0,2018.0,27.0,Self employed,Female,Secondary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,48.0,Formally employed Private,Female,Vocational/Specialised training,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,25.0,Farming and Fishing,Female,Primary education,Kenya,Spouse,No,Rural,Married/Living together
4.0,2018.0,26.0,Farming and Fishing,Male,Primary education,Kenya,Head of Household,Yes,Rural,Married/Living together
1.0,2018.0,32.0,Self employed,Male,Vocational/Specialised training,Kenya,Head of Household,Yes,Urban,Single/Never Married
4.0,2018.0,34.0,Self employed,Female,Secondary education,Kenya,Spouse,Yes,Urban,Married/Living together
3.0,2018.0,21.0,Informally employed,Female,Secondary education,Kenya,Spouse,Yes,Rural,Married/Living together
7.0,2018.0,18.0,Remittance Dependent,Male,Secondary education,Kenya,Other relative,No,Urban,Single/Never Married
5.0,2018.0,22.0,Remittance Dependent,Female,Secondary education,Kenya,Child,Yes,Rural,Single/Never Married
8.0,2018.0,26.0,Self employed,Male,Primary education,Kenya,Child,No,Rural,Married/Living together
1.0,2018.0,31.0,Informally employed,Female,Primary education,Kenya,Head of Household,Yes,Urban,Single/Never Married
